2024-04-18T15:50:10.640487Z,2024-04-18 17:32:20,2024-04-18 17:32:30,2,3
2024-04-18T15:50:11.707244Z,2024-04-18 17:32:20,2024-04-18 17:32:30,3,8
2024-04-18T15:50:12.156829Z,2024-04-18 17:32:20,2024-04-18 17:32:30,1,8
2024-04-18T15:50:20.151534Z,2024-04-18 17:32:30,2024-04-18 17:32:40,2,2
2024-04-18T15:50:20.689803Z,2024-04-18 17:32:30,2024-04-18 17:32:40,3,8
2024-04-18T15:50:21.343448Z,2024-04-18 17:32:30,2024-04-18 17:32:40,1,5
2024-04-18T15:50:28.299816Z,2024-04-18 17:32:40,2024-04-18 17:32:50,1,7
2024-04-18T15:50:29.081793Z,2024-04-18 17:32:40,2024-04-18 17:32:50,3,7
2024-04-18T15:50:29.926714Z,2024-04-18 17:32:40,2024-04-18 17:32:50,2,6
2024-04-18T15:50:39.977643Z,2024-04-18 17:32:50,2024-04-18 17:33,3,8
2024-04-18T15:50:40.028174Z,2024-04-18 17:32:50,2024-04-18 17:33,2,4
2024-04-18T15:50:41.150260Z,2024-04-18 17:32:50,2024-04-18 17:33,1,5
2024-04-18T15:50:48.687941Z,2024-04-18 17:33,2024-04-18 17:33:10,2,8
2024-04-18T15:50:50.270427Z,2024-04-18 17:33,2024-04-18 17:33:10,3,7
2024-04-18T15:50:50.281732Z,2024-04-18 17:33,2024-04-18 17:33:10,1,7
